#"","INTLDES","NORAD_CAT_ID","OBJECT_TYPE","SATNAME","COUNTRY","LAUNCH","SITE","DECAY","PERIOD","INCLINATION","APOGEE","PERIGEE","COMMENT","COMMENTCODE","RCSVALUE","RCS_SIZE","FILE","LAUNCH_YEAR","LAUNCH_NUM","LAUNCH_PIECE","CURRENT","OBJECT_NAME","OBJECT_ID","OBJECT_NUMBER"
"30607","2019-003F",43937,"PAYLOAD","NEXUS","JPN","2019-01-18","KSCUT","",94.51,97.27,511,479,"",NA,0,"SMALL",7012,2019,3,"F","Y","NEXUS","2019-003F",43937
"30608","1996-046A",24277,"PAYLOAD","ADEOS","JPN","1996-08-17","TNSTA","",100.74,98.83,794,793,"",NA,0,"LARGE",7005,1996,46,"A","Y","ADEOS","1996-046A",24277
"30609","2016-040J",41607,"PAYLOAD","SWAYAM","IND","2016-06-22","SRI","",94.53,97.36,504,487,"",NA,0,"SMALL",7012,2016,40,"J","Y","SWAYAM","2016-040J",41607
"30610","2019-003D",43935,"PAYLOAD","MICRODRAGON","JPN","2019-01-18","KSCUT","",94.61,97.28,511,488,"",NA,0,"MEDIUM",7012,2019,3,"D","Y","MICRODRAGON","2019-003D",43935
"30611","1998-067MF",42726,"PAYLOAD","NSIGHT-1","SAFR","1998-11-20","TTMTR","",91.55,51.64,353,348,"",NA,0,"SMALL",7015,1998,67,"MF","Y","NSIGHT-1","1998-067MF",42726
"30612","1997-075B",25068,"PAYLOAD","EQUATOR S","GER","1997-12-02","FRGUI","",1336.62,6.3,66902,731,"",NA,0,"LARGE",7015,1997,75,"B","Y","EQUATOR S","1997-075B",25068
"30613","2016-040E",41603,"PAYLOAD","LAPAN A3","INDO","2016-06-22","SRI","",94.75,97.36,515,498,"",NA,0,"MEDIUM",7012,2016,40,"E","Y","LAPAN A3","2016-040E",41603
"30614","2016-040B",41600,"PAYLOAD","SATHYABAMASAT","IND","2016-06-22","SRI","",94.52,97.37,504,486,"",NA,0,"SMALL",7012,2016,40,"B","Y","SATHYABAMASAT","2016-040B",41600
"30615","2019-002K",43931,"PAYLOAD","IRIDIUM 167","US","2019-01-11","AFWTR","",100.4,86.4,780,775,"",NA,0,"LARGE",7012,2019,2,"K","Y","IRIDIUM 167","2019-002K",43931
"30616","1985-109C",16275,"PAYLOAD","OPTUS A2 (AUSSAT 2)","AUS","1985-11-27","AFETR","",1440.63,15.09,35893,35857,"",NA,0,"MEDIUM",7014,1985,109,"C","Y","OPTUS A2 (AUSSAT 2)","1985-109C",16275
