,OBJECT_TYPE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,LAUNCH_YEAR,SMA,e,n
46619,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46620,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46621,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46622,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46623,"""PAYLOAD""","""""",109.81,87.89,1220.0,1216.0,"""LARGE""","""2020""",7596000.0,0.0002632964718272775,0.0009536449787784333
46624,"""PAYLOAD""","""""",109.8,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009537318316908904
46625,"""PAYLOAD""","""""",109.81,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009536449787784333
46626,"""PAYLOAD""","""""",109.29,87.91,1195.0,1192.0,"""MEDIUM""","""2020""",7571500.0,0.0001981113385722776,0.0009581824057064668
46627,"""PAYLOAD""","""""",109.8,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009537318316908904
46628,"""PAYLOAD""","""""",109.81,87.89,1220.0,1216.0,"""MEDIUM""","""2020""",7596000.0,0.0002632964718272775,0.0009536449787784333
46629,"""PAYLOAD""","""""",96.33,87.54,599.0,567.0,"""MEDIUM""","""2020""",6961000.0,0.0022985203275391465,0.0010870938972247458
46630,"""PAYLOAD""","""""",109.81,87.89,1219.0,1216.0,"""MEDIUM""","""2020""",7595500.0,0.00019748535316963992,0.0009536449787784333
46631,"""PAYLOAD""","""""",109.81,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009536449787784333
46632,"""PAYLOAD""","""""",109.8,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009537318316908904
46633,"""PAYLOAD""","""""",109.8,87.89,1219.0,1216.0,"""LARGE""","""2020""",7595500.0,0.00019748535316963992,0.0009537318316908904
