INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092AWB","50932","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-01-20","95.74","82.94","755","354","","","0","SMALL","7945","1982","92","AWB","Y","COSMOS 1408 DEB","1982-092AWB","50932"
"1982-092AWC","50933","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.54","82.63","503","393","","","0","SMALL","7965","1982","92","AWC","Y","COSMOS 1408 DEB","1982-092AWC","50933"
"1982-092AWD","50934","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","92.61","82.61","425","380","","","0","SMALL","7965","1982","92","AWD","Y","COSMOS 1408 DEB","1982-092AWD","50934"
"1982-092AWE","50935","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.16","82.51","518","438","","","0","SMALL","7964","1982","92","AWE","Y","COSMOS 1408 DEB","1982-092AWE","50935"
"1982-092AWF","50936","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.95","82.53","497","438","","","0","SMALL","7965","1982","92","AWF","Y","COSMOS 1408 DEB","1982-092AWF","50936"
"1982-092AWG","50937","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.53","82.58","532","460","","","0","SMALL","7965","1982","92","AWG","Y","COSMOS 1408 DEB","1982-092AWG","50937"
"1982-092AWH","50938","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.22","82.57","501","461","","","0","SMALL","7963","1982","92","AWH","Y","COSMOS 1408 DEB","1982-092AWH","50938"
"1982-092AWJ","50939","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","91.85","82.53","382","349","","","0","SMALL","7965","1982","92","AWJ","Y","COSMOS 1408 DEB","1982-092AWJ","50939"
"1982-092AWK","50940","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.38","82.62","459","421","","","0","SMALL","7965","1982","92","AWK","Y","COSMOS 1408 DEB","1982-092AWK","50940"
"1982-092AWL","50941","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.49","82.54","475","415","","","0","SMALL","7965","1982","92","AWL","Y","COSMOS 1408 DEB","1982-092AWL","50941"
"1982-092AWM","50942","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.15","82.65","468","390","","","0","SMALL","7965","1982","92","AWM","Y","COSMOS 1408 DEB","1982-092AWM","50942"
"1982-092AWN","50943","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.54","82.54","564","429","","","0","SMALL","7965","1982","92","AWN","Y","COSMOS 1408 DEB","1982-092AWN","50943"
"1982-092AWP","50944","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","91.16","82.60","362","301","","","0","SMALL","7965","1982","92","AWP","Y","COSMOS 1408 DEB","1982-092AWP","50944"
